Modified on,Product code,Bid,Ask,Mid price,Currency
2021-11-10T14:59:57+01:00,GO BIOMASS EU 2024,1.85,2.00,1.93,EUR
2021-11-11T08:02:27+01:00,GO BIOMASS EU 2024,1.85,2.00,1.93,EUR
2021-11-12T08:06:38+01:00,GO BIOMASS EU 2024,1.85,2.00,1.93,EUR
2021-11-12T08:51:54+01:00,GO BIOMASS EU 2024,1.85,1.95,1.90,EUR
2021-11-12T09:36:33+01:00,GO BIOMASS EU 2024,1.85,2.05,1.95,EUR
2021-11-12T09:36:37+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-15T11:04:35+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-16T09:57:44+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-17T09:01:39+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-18T08:30:40+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-19T09:32:13+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-22T10:05:40+01:00,GO BIOMASS EU 2024,1.97,2.05,2.01,EUR
2021-11-22T12:20:26+01:00,GO BIOMASS EU 2024,1.95,2.05,2.00,EUR
2021-11-23T09:33:44+01:00,GO BIOMASS EU 2024,1.95,2.05,2.00,EUR
2021-11-23T12:36:02+01:00,GO BIOMASS EU 2024,1.95,2.05,2.00,EUR
2021-11-23T12:36:10+01:00,GO BIOMASS EU 2024,1.90,2.05,1.98,EUR
2021-11-23T12:36:14+01:00,GO BIOMASS EU 2024,1.90,2.00,1.95,EUR
2021-11-24T08:10:32+01:00,GO BIOMASS EU 2024,1.90,2.00,1.95,EUR
2021-11-24T13:22:25+01:00,GO BIOMASS EU 2024,1.90,1.90,1.90,EUR
2021-11-24T13:22:30+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-11-25T08:23:17+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-11-26T09:30:27+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-11-29T11:01:01+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-11-30T09:22:02+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-01T10:06:21+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-02T08:30:19+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-03T09:03:34+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-06T08:16:24+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-07T09:40:40+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-08T10:04:24+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-09T08:47:44+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-10T09:01:20+01:00,GO BIOMASS EU 2024,1.80,1.90,1.85,EUR
2021-12-10T15:54:29+01:00,GO BIOMASS EU 2024,1.80,2.50,2.15,EUR
2021-12-10T15:54:34+01:00,GO BIOMASS EU 2024,1.98,2.50,2.24,EUR
2021-12-13T09:34:24+01:00,GO BIOMASS EU 2024,1.98,2.50,2.24,EUR
2021-12-14T09:13:58+01:00,GO BIOMASS EU 2024,1.98,2.50,2.24,EUR
2021-12-15T09:00:38+01:00,GO BIOMASS EU 2024,1.98,2.50,2.24,EUR
2021-12-15T13:51:55+01:00,GO BIOMASS EU 2024,1.98,2.15,2.07,EUR
2021-12-15T13:53:55+01:00,GO BIOMASS EU 2024,1.98,2.10,2.04,EUR
2021-12-16T08:19:00+01:00,GO BIOMASS EU 2024,1.98,2.10,2.04,EUR
2021-12-17T09:04:21+01:00,GO BIOMASS EU 2024,1.98,2.10,2.04,EUR
2021-12-17T09:04:22+01:00,GO BIOMASS EU 2024,1.98,2.10,2.04,EUR
2021-12-20T09:15:14+01:00,GO BIOMASS EU 2024,1.98,2.10,2.04,EUR
2021-12-21T09:30:36+01:00,GO BIOMASS EU 2024,1.98,2.10,2.04,EUR
2021-12-22T09:38:27+01:00,GO BIOMASS EU 2024,1.98,2.15,2.07,EUR
2021-12-22T09:38:31+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-22T09:40:03+01:00,GO BIOMASS EU 2024,2.05,2.15,2.10,EUR
2021-12-22T09:40:06+01:00,GO BIOMASS EU 2024,2.05,2.10,2.08,EUR
2021-12-22T16:08:10+01:00,GO BIOMASS EU 2024,2.08,2.10,2.09,EUR
2021-12-22T16:08:13+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-23T09:23:01+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-27T09:34:14+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-28T09:03:51+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-29T09:00:55+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-30T08:36:08+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2021-12-31T08:37:27+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-03T09:47:17+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-03T09:47:18+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-05T08:34:41+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-06T08:42:10+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-07T09:14:33+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-10T10:01:07+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-11T09:01:51+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-12T09:30:27+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-13T09:08:21+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-14T09:10:54+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-17T10:37:31+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-18T08:48:06+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-19T08:47:06+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-20T09:00:55+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-21T08:40:38+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-24T09:45:24+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-25T09:25:39+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-26T09:16:56+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-27T09:35:02+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-28T08:31:49+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-01-31T09:38:41+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-02-01T08:53:10+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-02-02T08:55:19+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-02-03T09:01:45+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-02-04T09:29:16+01:00,GO BIOMASS EU 2024,2.08,2.15,2.12,EUR
2022-02-04T14:32:23+01:00,GO BIOMASS EU 2024,2.08,2.17,2.13,EUR
2022-02-04T14:32:52+01:00,GO BIOMASS EU 2024,2.08,2.18,2.13,EUR
2022-02-04T14:38:43+01:00,GO BIOMASS EU 2024,2.08,2.20,2.14,EUR
2022-02-07T10:12:36+01:00,GO BIOMASS EU 2024,2.08,2.20,2.14,EUR
2022-02-07T10:13:37+01:00,GO BIOMASS EU 2024,2.08,2.25,2.17,EUR
2022-02-07T10:13:41+01:00,GO BIOMASS EU 2024,2.15,2.25,2.20,EUR
2022-02-08T09:05:02+01:00,GO BIOMASS EU 2024,2.15,2.25,2.20,EUR
2022-02-09T08:51:12+01:00,GO BIOMASS EU 2024,2.15,2.30,2.22,EUR
2022-02-09T08:51:16+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-10T09:27:00+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-10T09:27:03+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-10T10:38:23+01:00,GO BIOMASS EU 2024,2.25,2.30,2.28,EUR
2022-02-10T10:38:29+01:00,GO BIOMASS EU 2024,2.25,2.30,2.28,EUR
2022-02-10T10:38:34+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-10T10:38:39+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-11T08:17:49+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-11T08:17:54+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-11T08:17:59+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-11T08:18:06+01:00,GO BIOMASS EU 2024,2.19,2.30,2.25,EUR
2022-02-11T08:18:15+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-02-11T13:55:08+01:00,GO BIOMASS EU 2024,2.25,2.30,2.28,EUR
2022-02-11T13:55:14+01:00,GO BIOMASS EU 2024,2.25,2.35,2.30,EUR
2022-02-11T13:55:18+01:00,GO BIOMASS EU 2024,2.25,2.35,2.30,EUR
2022-02-14T11:16:22+01:00,GO BIOMASS EU 2024,2.27,2.35,2.31,EUR
2022-02-14T11:16:28+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-15T08:38:00+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-15T08:38:05+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-15T08:40:26+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-15T08:40:27+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-17T08:24:03+01:00,GO BIOMASS EU 2024,2.26,2.37,2.32,EUR
2022-02-17T08:24:15+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-17T08:24:20+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-18T08:57:36+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-18T08:57:49+01:00,GO BIOMASS EU 2024,2.26,2.37,2.32,EUR
2022-02-18T08:58:02+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-21T10:52:47+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-21T10:52:51+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-21T10:53:03+01:00,GO BIOMASS EU 2024,2.26,2.37,2.32,EUR
2022-02-21T10:53:20+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-21T10:53:25+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-22T08:50:17+01:00,GO BIOMASS EU 2024,2.26,2.37,2.32,EUR
2022-02-22T08:50:29+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-22T08:50:33+01:00,GO BIOMASS EU 2024,2.27,2.37,2.32,EUR
2022-02-23T08:38:02+01:00,GO BIOMASS EU 2024,2.26,2.37,2.32,EUR
2022-02-23T08:38:07+01:00,GO BIOMASS EU 2024,2.26,2.37,2.32,EUR
2022-02-23T08:38:16+01:00,GO BIOMASS EU 2024,2.25,2.37,2.31,EUR
2022-02-24T08:09:59+01:00,GO BIOMASS EU 2024,2.24,2.37,2.31,EUR
2022-02-24T08:10:04+01:00,GO BIOMASS EU 2024,2.24,2.37,2.31,EUR
2022-02-24T08:10:13+01:00,GO BIOMASS EU 2024,2.25,2.37,2.31,EUR
2022-02-25T08:41:18+01:00,GO BIOMASS EU 2024,2.24,2.37,2.31,EUR
2022-02-25T08:41:31+01:00,GO BIOMASS EU 2024,2.25,2.37,2.31,EUR
2022-02-28T10:01:45+01:00,GO BIOMASS EU 2024,2.24,2.37,2.31,EUR
2022-02-28T10:01:57+01:00,GO BIOMASS EU 2024,2.25,2.37,2.31,EUR
2022-02-28T10:02:16+01:00,GO BIOMASS EU 2024,2.25,2.37,2.31,EUR
2022-03-01T08:23:49+01:00,GO BIOMASS EU 2024,2.24,2.37,2.31,EUR
2022-03-01T08:23:54+01:00,GO BIOMASS EU 2024,2.24,2.37,2.31,EUR
2022-03-01T08:24:00+01:00,GO BIOMASS EU 2024,2.25,2.37,2.31,EUR
2022-03-01T11:46:19+01:00,GO BIOMASS EU 2024,2.25,2.35,2.30,EUR
2022-03-02T08:26:06+01:00,GO BIOMASS EU 2024,2.24,2.35,2.30,EUR
2022-03-02T08:26:18+01:00,GO BIOMASS EU 2024,2.24,2.35,2.30,EUR
2022-03-02T08:26:26+01:00,GO BIOMASS EU 2024,2.25,2.35,2.30,EUR
2022-03-03T08:48:45+01:00,GO BIOMASS EU 2024,2.24,2.35,2.30,EUR
2022-03-03T08:49:13+01:00,GO BIOMASS EU 2024,2.25,2.35,2.30,EUR
2022-03-03T08:49:22+01:00,GO BIOMASS EU 2024,2.24,2.35,2.30,EUR
2022-03-03T14:24:35+01:00,GO BIOMASS EU 2024,2.20,2.35,2.28,EUR
2022-03-03T14:24:44+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-03T14:24:53+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-04T08:08:50+01:00,GO BIOMASS EU 2024,2.19,2.30,2.25,EUR
2022-03-04T08:09:33+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-07T09:31:05+01:00,GO BIOMASS EU 2024,2.19,2.30,2.25,EUR
2022-03-07T09:31:20+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-07T09:31:27+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-07T14:12:05+01:00,GO BIOMASS EU 2024,2.19,2.30,2.25,EUR
2022-03-07T14:12:13+01:00,GO BIOMASS EU 2024,2.19,2.30,2.25,EUR
2022-03-07T14:12:22+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-07T14:12:28+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-07T14:12:36+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-07T14:21:25+01:00,GO BIOMASS EU 2024,2.19,2.30,2.25,EUR
2022-03-07T14:21:45+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-08T08:47:44+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-08T08:47:52+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-09T08:47:43+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-09T09:02:52+01:00,GO BIOMASS EU 2024,2.20,2.30,2.25,EUR
2022-03-09T09:04:40+01:00,GO BIOMASS EU 2024,2.15,2.30,2.22,EUR
2022-03-09T09:04:48+01:00,GO BIOMASS EU 2024,2.15,2.25,2.20,EUR
2022-03-09T14:13:22+01:00,GO BIOMASS EU 2024,2.15,2.25,2.20,EUR
2022-03-10T08:34:33+01:00,GO BIOMASS EU 2024,2.15,2.25,2.20,EUR
2022-03-10T11:12:12+01:00,GO BIOMASS EU 2024,2.08,2.25,2.17,EUR
2022-03-10T11:12:20+01:00,GO BIOMASS EU 2024,2.08,2.16,2.12,EUR
2022-03-10T11:12:27+01:00,GO BIOMASS EU 2024,2.08,2.16,2.12,EUR
2022-03-11T08:25:11+01:00,GO BIOMASS EU 2024,2.08,2.16,2.12,EUR
2022-03-11T11:16:37+01:00,GO BIOMASS EU 2024,2.03,2.16,2.09,EUR
2022-03-11T13:11:13+01:00,GO BIOMASS EU 2024,2.03,2.11,2.07,EUR
2022-03-14T09:58:19+01:00,GO BIOMASS EU 2024,2.03,2.11,2.07,EUR
2022-03-14T09:58:41+01:00,GO BIOMASS EU 2024,2.03,2.11,2.07,EUR
2022-03-15T10:38:23+01:00,GO BIOMASS EU 2024,2.03,2.11,2.07,EUR
2022-03-15T10:38:31+01:00,GO BIOMASS EU 2024,2.03,2.11,2.07,EUR
2022-03-15T10:54:14+01:00,GO BIOMASS EU 2024,1.90,2.11,2.01,EUR
2022-03-15T15:36:05+01:00,GO BIOMASS EU 2024,1.90,2.11,2.01,EUR
2022-03-15T15:36:18+01:00,GO BIOMASS EU 2024,1.90,2.00,1.95,EUR
2022-03-15T15:36:26+01:00,GO BIOMASS EU 2024,1.90,2.00,1.95,EUR
2022-03-16T09:11:30+01:00,GO BIOMASS EU 2024,1.90,2.00,1.95,EUR
2022-03-16T09:11:38+01:00,GO BIOMASS EU 2024,1.90,2.00,1.95,EUR
2022-03-16T09:52:39+01:00,GO BIOMASS EU 2024,1.85,2.00,1.93,EUR
2022-03-16T09:52:47+01:00,GO BIOMASS EU 2024,1.85,1.95,1.90,EUR
2022-03-17T08:51:58+01:00,GO BIOMASS EU 2024,1.85,1.95,1.90,EUR
2022-03-17T08:52:17+01:00,GO BIOMASS EU 2024,1.85,1.95,1.90,EUR
2022-03-17T15:01:38+01:00,GO BIOMASS EU 2024,1.85,1.95,1.90,EUR
2022-03-17T15:02:02+01:00,GO BIOMASS EU 2024,1.75,1.95,1.85,EUR
2022-03-17T15:02:10+01:00,GO BIOMASS EU 2024,1.75,1.95,1.85,EUR
2022-03-17T15:02:18+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-18T08:29:29+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-21T10:00:57+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-21T10:01:10+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-22T09:22:24+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-22T09:22:32+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-23T08:32:06+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-23T08:32:14+01:00,GO BIOMASS EU 2024,1.75,1.85,1.80,EUR
2022-03-23T11:58:49+01:00,GO BIOMASS EU 2024,1.78,1.85,1.82,EUR
2022-03-23T11:58:57+01:00,GO BIOMASS EU 2024,1.78,1.86,1.82,EUR
2022-03-23T11:59:03+01:00,GO BIOMASS EU 2024,1.78,1.86,1.82,EUR
2022-03-23T13:18:35+01:00,GO BIOMASS EU 2024,1.81,1.86,1.84,EUR
2022-03-23T13:18:43+01:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-23T13:18:49+01:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-24T09:15:39+01:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-24T09:15:40+01:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-25T08:14:54+01:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-28T09:28:26+02:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-28T09:28:27+02:00,GO BIOMASS EU 2024,1.81,1.87,1.84,EUR
2022-03-29T09:16:20+02:00,GO BIOMASS EU 2024,1.83,1.87,1.85,EUR
2022-03-29T09:16:24+02:00,GO BIOMASS EU 2024,1.83,1.89,1.86,EUR
2022-03-29T12:38:07+02:00,GO BIOMASS EU 2024,1.85,1.89,1.87,EUR
2022-03-29T12:38:10+02:00,GO BIOMASS EU 2024,1.85,1.90,1.88,EUR
2022-03-29T12:52:54+02:00,GO BIOMASS EU 2024,1.87,1.90,1.89,EUR
2022-03-29T12:52:57+02:00,GO BIOMASS EU 2024,1.87,1.92,1.90,EUR
