Modified on,Product code,Bid,Ask,Mid price,Currency
2020-06-19T11:18:50+02:00,GO HYDRO EU 2024,0.4,0.5,0.45,EUR
2020-06-19T11:21:12+02:00,GO HYDRO EU 2024,0.44,0.5,0.47,EUR
2020-06-19T11:21:15+02:00,GO HYDRO EU 2024,0.44,0.49,0.465,EUR
2020-06-22T08:32:00+02:00,GO HYDRO EU 2024,0.44,0.49,0.465,EUR
2020-06-22T08:32:00+02:00,GO HYDRO EU 2024,0.44,0.49,0.465,EUR
2020-06-22T10:50:54+02:00,GO HYDRO EU 2024,0.42,0.49,0.455,EUR
2020-06-22T10:50:57+02:00,GO HYDRO EU 2024,0.42,0.47,0.445,EUR
2020-06-23T09:02:04+02:00,GO HYDRO EU 2024,0.42,0.47,0.445,EUR
2020-06-23T09:02:05+02:00,GO HYDRO EU 2024,0.42,0.47,0.445,EUR
2020-06-23T16:24:01+02:00,GO HYDRO EU 2024,0.41,0.47,0.44,EUR
2020-06-23T16:24:03+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-24T08:35:52+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-24T08:35:53+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-25T08:13:19+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-26T09:03:27+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-26T09:03:31+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-29T10:23:10+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-29T10:23:38+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-30T08:37:58+02:00,GO HYDRO EU 2024,0.41,0.45,0.43,EUR
2020-06-30T08:38:02+02:00,GO HYDRO EU 2024,0.42,0.45,0.435,EUR
2020-06-30T08:38:04+02:00,GO HYDRO EU 2024,0.42,0.46,0.44,EUR
2020-07-01T09:07:50+02:00,GO HYDRO EU 2024,0.45,0.46,0.455,EUR
2020-07-01T09:07:53+02:00,GO HYDRO EU 2024,0.45,0.5,0.475,EUR
2020-07-02T07:53:57+02:00,GO HYDRO EU 2024,0.45,0.5,0.475,EUR
2020-07-02T07:54:05+02:00,GO HYDRO EU 2024,0.45,0.5,0.475,EUR
2020-07-03T07:49:28+02:00,GO HYDRO EU 2024,0.47,0.5,0.485,EUR
2020-07-03T07:49:33+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-06T09:37:56+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-06T09:37:57+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-07T09:00:45+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-07T09:00:48+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-08T09:04:15+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-08T09:04:17+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-09T09:45:27+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-09T09:45:27+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-10T08:39:10+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-10T08:39:14+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-13T08:21:45+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-13T08:21:46+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-14T08:32:05+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-14T08:32:07+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-15T08:37:59+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-15T08:38:00+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-16T08:54:04+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-16T08:54:24+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-17T09:11:42+02:00,GO HYDRO EU 2024,0.47,0.52,0.495,EUR
2020-07-20T09:53:12+02:00,GO HYDRO EU 2024,0.47,0.51,0.49,EUR
2020-07-21T11:22:22+02:00,GO HYDRO EU 2024,0.47,0.51,0.49,EUR
2020-07-22T10:35:37+02:00,GO HYDRO EU 2024,0.47,0.51,0.49,EUR
2020-07-23T09:28:14+02:00,GO HYDRO EU 2024,0.47,0.51,0.49,EUR
2020-07-24T08:32:11+02:00,GO HYDRO EU 2024,0.47,0.51,0.49,EUR
2020-07-27T12:09:49+02:00,GO HYDRO EU 2024,0.47,0.51,0.49,EUR
