Modified on,Product code,Bid,Ask,Mid price,Currency
2022-02-07T10:58:54+01:00,GO SOLAR EU 2024,2.15,2.35,2.25,EUR
2022-02-08T09:08:19+01:00,GO SOLAR EU 2024,2.30,2.35,2.33,EUR
2022-02-08T09:08:22+01:00,GO SOLAR EU 2024,2.30,2.40,2.35,EUR
2022-02-09T09:32:15+01:00,GO SOLAR EU 2024,2.30,2.43,2.37,EUR
2022-02-09T09:32:30+01:00,GO SOLAR EU 2024,2.33,2.43,2.38,EUR
2022-02-10T09:32:56+01:00,GO SOLAR EU 2024,2.33,2.43,2.38,EUR
2022-02-10T15:02:50+01:00,GO SOLAR EU 2024,2.33,2.51,2.42,EUR
2022-02-10T15:02:55+01:00,GO SOLAR EU 2024,2.41,2.51,2.46,EUR
2022-02-11T08:36:29+01:00,GO SOLAR EU 2024,2.40,2.51,2.46,EUR
2022-02-11T08:36:41+01:00,GO SOLAR EU 2024,2.41,2.51,2.46,EUR
2022-02-11T08:38:53+01:00,GO SOLAR EU 2024,2.41,2.56,2.49,EUR
2022-02-11T08:39:17+01:00,GO SOLAR EU 2024,2.41,2.56,2.49,EUR
2022-02-11T08:39:41+01:00,GO SOLAR EU 2024,2.41,2.56,2.49,EUR
2022-02-11T08:40:47+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-14T11:18:17+01:00,GO SOLAR EU 2024,2.47,2.56,2.52,EUR
2022-02-14T11:18:23+01:00,GO SOLAR EU 2024,2.47,2.57,2.52,EUR
2022-02-14T11:18:27+01:00,GO SOLAR EU 2024,2.47,2.57,2.52,EUR
2022-02-14T11:18:50+01:00,GO SOLAR EU 2024,2.45,2.57,2.51,EUR
2022-02-14T11:19:25+01:00,GO SOLAR EU 2024,2.46,2.57,2.51,EUR
2022-02-14T11:19:50+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-14T11:20:16+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-14T11:20:42+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-14T11:21:08+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-14T11:21:34+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-15T08:41:41+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-15T08:41:42+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-15T08:41:42+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-15T08:41:47+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-15T08:42:10+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-15T08:42:35+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-16T10:06:58+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-16T10:07:23+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-16T10:07:38+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-16T10:07:43+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-17T08:25:12+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-17T08:25:38+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-17T08:26:16+01:00,GO SOLAR EU 2024,2.46,2.56,2.51,EUR
2022-02-18T09:00:29+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-18T09:00:56+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-21T10:37:52+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-21T10:37:56+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-21T10:38:19+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-22T08:51:52+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-22T08:52:19+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-22T08:52:52+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-22T08:53:33+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-23T08:39:26+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-23T09:22:27+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-23T09:22:53+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-23T09:23:07+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-23T09:23:12+01:00,GO SOLAR EU 2024,2.45,2.56,2.51,EUR
2022-02-24T08:11:37+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-24T08:12:09+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-25T08:42:18+01:00,GO SOLAR EU 2024,2.43,2.56,2.50,EUR
2022-02-25T08:42:33+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-25T08:42:37+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-25T08:43:42+01:00,GO SOLAR EU 2024,2.43,2.56,2.50,EUR
2022-02-25T08:44:08+01:00,GO SOLAR EU 2024,2.43,2.56,2.50,EUR
2022-02-25T08:44:51+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-28T10:03:50+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
2022-02-28T10:03:52+01:00,GO SOLAR EU 2024,2.44,2.56,2.50,EUR
