"Week","Stored Energy Value 2019 [MWh] - Norway (NO)","Stored Energy Value 2020 [MWh] - Norway (NO)","Stored Energy Value 2021 [MWh] - Norway (NO)","Stored Energy Value 2022 [MWh] - Norway (NO)","Stored Energy Value 2023 [MWh] - Norway (NO)","Stored Energy Value 2024 [MWh] - Norway (NO)","Stored Energy Value 2025 [MWh] - Norway (NO)"
"Week 1","51526000","55741000","68216000","46632114","55071564","51945281","67241656"
"Week 2","49910000","55494000","64866000","45418364","53925429","49076281","64349761"
"Week 3","47504000","54438000","62240000","43951856","51118269","46030014","63894108"
"Week 4","44553000","53991000","58446000","42768986","49046397","44699899","61638241"
"Week 5","41731000","52480000","55336000","40940859","46902262","43717173","58811089"
"Week 6","39352000","50560000","51903563","39219178","45000843","41067173","56097834"
"Week 7","37714000","49178000","48977226","37387327","43070598","38305254","52737627"
"Week 8","36332000","48345000","47937486","34977679","41023301","35956971","50178233"
"Week 9","35024000","45962000","45985259","32407202","38666597","33630082","48255679"
"Week 10","33321000","43439000","43819163","29964400","35651139","31197689","49002316"
"Week 11","31545000","41581000","41202377","27537587","33459856","29209387","46519714"
"Week 12","30412000","39454000","39539539","25626680","31762503","26796418","44453157"
"Week 13","29912000","37347000","39929876","23652689","29351583","24897094","43171422"
"Week 14","30123000","35165000","38710441","21863546","26900505","23522662","41960087"
"Week 15","28433000","33515000","36410653","19847123","25837400","25068851","41144120"
"Week 16","27180000","32247000","34833740","19338843","25193453","24217476","42216869"
"Week 17","30738000","31285000","32470945","18516371","24320489","22054144","41590964"
"Week 18","34657000","29842000","30736708","18328177","23115610","24073597","43192141"
"Week 19","34793000","28684000","32868956","20306180","25079996","27652536","43129722"
"Week 20","36245000","27462000","36874575","22082817","29746756","34719013","44884323"
"Week 21","43215000","27421000","41152113","27827119","35579403","41896847","45753270"
"Week 22","45417000","31201000","46162040","32296750","39353353","49539577","48163194"
"Week 23","51500000","38653000","50903895","37086369","43500806","53031492","50800666"
"Week 24","55908000","46512000","55001275","42080583","48521889","55202092","52334103"
"Week 25","59153000","55765000","56992323","46475161","53481067","57989242","-"
"Week 26","61013000","63779000","57533640","51892355","56965103","60197012","-"
"Week 27","62731000","68023000","59205213","54565956","58806685","61177085","-"
"Week 28","62821000","70082000","59663535","56099165","61535730","62811276","-"
"Week 29","63046000","72503000","59939003","57059916","63834729","63633362","-"
"Week 30","64201000","74301000","60675291","58302041","64329858","64861696","-"
"Week 31","64158000","77861000","59962500","59468823","64344779","64549025","-"
"Week 32","63932000","79170000","59566382","59874573","67716590","66291321","-"
"Week 33","65519000","79034000","59207451","60351907","68663905","67168453","-"
"Week 34","67198000","79517000","58342518","60519881","69097963","69705971","-"
"Week 35","68209000","79325000","57363294","59984628","68617229","71406982","-"
"Week 36","69199000","78874000","56804399","58970712","68654649","71702616","-"
"Week 37","70572000","80132000","55407541","59586351","68822435","73423285","-"
"Week 38","71892000","80954000","55047555","59467822","72203344","72753613","-"
"Week 39","71544000","81881000","56445655","60740092","73767214","72336995","-"
"Week 40","70810000","82059000","58059418","64188471","74389086","71240853","-"
"Week 41","70473000","82636000","59052506","65695729","75715109","71207294","-"
"Week 42","70183000","81294000","59710464","65865138","75156186","71647674","-"
"Week 43","70613000","80630000","62332993","66859273","72999619","74686390","-"
"Week 44","69470000","80711000","63117993","68623349","71713231","76289831","-"
"Week 45","66912000","82422000","62363972","71525143","69386227","75822833","-"
"Week 46","64716000","81590000","62246470","70281173","66652517","75516615","-"
"Week 47","62881000","83251000","60272410","68221481","64494120","73498260","-"
"Week 48","60700000","82282000","57512334","65780111","61385378","72772532","-"
"Week 49","59558000","80219000","54360090","62714198","58445504","71762729","-"
"Week 50","58252000","77675000","53123700","59499025","56628147","69706748","-"
"Week 51","56416000","75794000","50620718","57575465","56099981","69364028","-"
"Week 52","54889000","74201000","48944611","56836295","54781802","69166498","-"
"Week 53","","71590000","","","","",""
