Modified on,Product code,Bid,Ask,Mid price,Currency
2020-10-01T13:05:07+02:00,GO WIND EU 2024,0.50,0.54,0.52,EUR
2020-10-02T08:57:45+02:00,GO WIND EU 2024,0.51,0.54,0.53,EUR
2020-10-02T08:57:47+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-02T08:58:45+02:00,GO WIND EU 2024,0.52,0.55,0.54,EUR
2020-10-05T08:14:34+02:00,GO WIND EU 2024,0.52,0.55,0.54,EUR
2020-10-05T08:14:35+02:00,GO WIND EU 2024,0.52,0.55,0.54,EUR
2020-10-06T09:07:10+02:00,GO WIND EU 2024,0.52,0.55,0.54,EUR
2020-10-06T09:07:10+02:00,GO WIND EU 2024,0.52,0.55,0.54,EUR
2020-10-06T11:06:26+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-07T08:22:26+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-07T08:22:27+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-08T08:26:18+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-08T08:26:22+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-09T09:00:52+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-09T09:00:53+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-12T08:09:17+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-12T08:09:28+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-13T08:18:31+02:00,GO WIND EU 2024,0.51,0.55,0.53,EUR
2020-10-13T10:02:04+02:00,GO WIND EU 2024,0.49,0.55,0.52,EUR
2020-10-13T10:02:07+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-14T08:13:07+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-14T08:13:13+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-15T08:00:01+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-15T08:00:07+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-16T08:42:31+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-16T08:42:36+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-19T08:25:16+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-19T08:25:40+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-20T08:21:08+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-20T08:21:09+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-21T08:36:58+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-21T08:36:59+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-22T08:24:48+02:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-10-22T08:24:50+02:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-23T08:28:13+02:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-23T08:29:24+02:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-26T09:24:12+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-26T09:24:23+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-27T08:27:54+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-27T08:27:55+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-28T08:42:27+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-28T08:42:39+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-29T08:23:39+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-30T09:25:48+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-10-30T15:27:10+01:00,GO WIND EU 2024,0.45,0.53,0.49,EUR
2020-10-30T15:27:13+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-02T09:09:04+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-03T08:29:42+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-04T09:01:08+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-04T09:01:09+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-05T08:11:16+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-05T08:11:35+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-06T09:07:51+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-06T09:07:52+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-09T08:13:37+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-09T08:13:48+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-10T08:59:13+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-11T08:48:49+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-12T08:41:46+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-12T08:42:07+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-13T09:12:31+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-16T08:24:04+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-16T08:24:09+01:00,GO WIND EU 2024,0.45,0.49,0.47,EUR
2020-11-16T13:59:06+01:00,GO WIND EU 2024,0.45,0.53,0.49,EUR
2020-11-16T13:59:11+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-17T08:12:33+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-18T09:36:36+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-18T09:37:37+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-19T09:07:06+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-20T08:53:51+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-20T08:53:52+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-23T08:44:20+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-23T08:44:21+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-24T09:04:24+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-24T09:04:25+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-25T09:00:56+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-25T09:00:58+01:00,GO WIND EU 2024,0.50,0.53,0.52,EUR
2020-11-25T10:03:41+01:00,GO WIND EU 2024,0.51,0.53,0.52,EUR
2020-11-25T10:03:43+01:00,GO WIND EU 2024,0.51,0.54,0.53,EUR
2020-11-26T08:50:46+01:00,GO WIND EU 2024,0.51,0.54,0.53,EUR
2020-11-26T08:50:47+01:00,GO WIND EU 2024,0.51,0.54,0.53,EUR
2020-11-27T08:35:03+01:00,GO WIND EU 2024,0.51,0.54,0.53,EUR
2020-11-27T08:35:04+01:00,GO WIND EU 2024,0.51,0.54,0.53,EUR
2020-11-30T08:24:24+01:00,GO WIND EU 2024,0.50,0.54,0.52,EUR
2020-12-01T09:04:10+01:00,GO WIND EU 2024,0.50,0.54,0.52,EUR
2020-12-02T08:56:30+01:00,GO WIND EU 2024,0.50,0.54,0.52,EUR
2020-12-02T08:56:36+01:00,GO WIND EU 2024,0.50,0.54,0.52,EUR
2020-12-03T08:46:23+01:00,GO WIND EU 2024,0.48,0.54,0.51,EUR
2020-12-03T08:46:26+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-04T08:27:11+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-07T09:01:46+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-07T09:01:47+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-08T08:38:11+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-08T08:38:12+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-09T08:25:54+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-09T08:25:56+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-10T08:45:00+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-10T08:45:00+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-11T09:03:55+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-11T09:03:55+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-14T07:56:53+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-15T08:56:26+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-15T08:56:26+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-16T09:01:39+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-16T09:01:46+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-17T08:17:28+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-17T08:17:28+01:00,GO WIND EU 2024,0.48,0.52,0.50,EUR
2020-12-17T11:44:54+01:00,GO WIND EU 2024,0.49,0.52,0.51,EUR
2020-12-17T11:44:56+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-12-18T09:03:45+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-12-18T09:03:49+01:00,GO WIND EU 2024,0.49,0.53,0.51,EUR
2020-12-21T08:27:47+01:00,GO WIND EU 2024,0.49,0.55,0.52,EUR
2020-12-21T08:27:53+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-22T08:33:35+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-22T08:33:37+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-23T08:47:01+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-23T08:47:02+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-24T08:37:33+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-24T08:37:33+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-28T10:26:27+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-29T09:34:51+01:00,GO WIND EU 2024,0.49,0.54,0.52,EUR
2020-12-30T08:25:31+01:00,GO WIND EU 2024,0.53,0.54,0.54,EUR
2020-12-30T08:25:36+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-04T08:08:39+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-04T08:08:51+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-05T08:36:45+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-05T08:36:46+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-06T08:25:26+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-06T08:25:26+01:00,GO WIND EU 2024,0.53,0.63,0.58,EUR
2021-01-07T09:02:40+01:00,GO WIND EU 2024,0.53,0.58,0.55,EUR
2021-01-07T11:04:01+01:00,GO WIND EU 2024,0.52,0.58,0.55,EUR
2021-01-07T11:04:03+01:00,GO WIND EU 2024,0.52,0.56,0.54,EUR
2021-01-08T08:39:07+01:00,GO WIND EU 2024,0.50,0.56,0.53,EUR
2021-01-08T08:39:09+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-11T10:30:58+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-11T10:30:58+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-12T08:42:30+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-13T08:46:22+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-13T08:46:23+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-14T08:37:21+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-14T08:37:22+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-15T09:03:59+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-15T09:04:00+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-18T08:23:48+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-19T09:00:54+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-19T09:00:58+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-20T08:38:20+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-20T08:38:21+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-21T09:36:19+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
2021-01-22T08:50:26+01:00,GO WIND EU 2024,0.50,0.55,0.53,EUR
