Modified on,Product code,Bid,Ask,Mid price,Currency
2020-01-02T09:35:36+01:00,GO HYDRO EU 2020,0.45,0.48,0.47,EUR
2020-01-02T09:35:51+01:00,GO HYDRO EU 2020,0.45,0.48,0.47,EUR
2020-01-03T09:14:24+01:00,GO HYDRO EU 2020,0.45,0.48,0.47,EUR
2020-01-06T07:49:49+01:00,GO HYDRO EU 2020,0.45,0.48,0.47,EUR
2020-01-07T08:55:13+01:00,GO HYDRO EU 2020,0.45,0.48,0.47,EUR
2020-01-07T08:55:15+01:00,GO HYDRO EU 2020,0.45,0.48,0.47,EUR
2020-01-08T09:07:42+01:00,GO HYDRO EU 2020,0.43,0.48,0.45,EUR
2020-01-08T09:07:45+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-09T09:14:53+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-09T09:14:53+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-10T08:36:32+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-10T08:36:33+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-10T14:48:46+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-13T08:37:33+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-13T08:37:33+01:00,GO HYDRO EU 2020,0.43,0.46,0.45,EUR
2020-01-13T10:54:40+01:00,GO HYDRO EU 2020,0.42,0.46,0.44,EUR
2020-01-13T11:37:52+01:00,GO HYDRO EU 2020,0.42,0.46,0.44,EUR
2020-01-14T08:35:59+01:00,GO HYDRO EU 2020,0.42,0.46,0.44,EUR
2020-01-14T08:36:00+01:00,GO HYDRO EU 2020,0.42,0.46,0.44,EUR
2020-01-14T11:47:22+01:00,GO HYDRO EU 2020,0.4,0.46,0.43,EUR
2020-01-14T11:47:25+01:00,GO HYDRO EU 2020,0.4,0.43,0.42,EUR
2020-01-15T09:21:24+01:00,GO HYDRO EU 2020,0.4,0.43,0.42,EUR
2020-01-15T09:21:25+01:00,GO HYDRO EU 2020,0.4,0.43,0.42,EUR
2020-01-16T08:38:53+01:00,GO HYDRO EU 2020,0.4,0.43,0.42,EUR
2020-01-16T08:38:55+01:00,GO HYDRO EU 2020,0.4,0.43,0.42,EUR
2020-01-16T08:39:49+01:00,GO HYDRO EU 2020,0.4,0.44,0.42,EUR
2020-01-16T09:38:20+01:00,GO HYDRO EU 2020,0.39,0.44,0.42,EUR
2020-01-16T09:38:22+01:00,GO HYDRO EU 2020,0.39,0.43,0.41,EUR
2020-01-16T13:01:34+01:00,GO HYDRO EU 2020,0.37,0.43,0.4,EUR
2020-01-16T13:01:42+01:00,GO HYDRO EU 2020,0.37,0.41,0.39,EUR
2020-01-16T15:04:10+01:00,GO HYDRO EU 2020,0.35,0.41,0.38,EUR
2020-01-16T15:04:14+01:00,GO HYDRO EU 2020,0.35,0.4,0.38,EUR
2020-01-17T09:18:46+01:00,GO HYDRO EU 2020,0.35,0.4,0.38,EUR
2020-01-17T09:18:48+01:00,GO HYDRO EU 2020,0.35,0.4,0.38,EUR
2020-01-17T11:21:42+01:00,GO HYDRO EU 2020,0.32,0.4,0.36,EUR
2020-01-17T11:21:48+01:00,GO HYDRO EU 2020,0.32,0.37,0.35,EUR
2020-01-20T11:22:46+01:00,GO HYDRO EU 2020,0.29,0.37,0.33,EUR
2020-01-20T11:22:49+01:00,GO HYDRO EU 2020,0.29,0.34,0.32,EUR
2020-01-21T09:06:51+01:00,GO HYDRO EU 2020,0.29,0.34,0.32,EUR
2020-01-21T09:06:52+01:00,GO HYDRO EU 2020,0.29,0.34,0.32,EUR
2020-01-22T09:08:09+01:00,GO HYDRO EU 2020,0.28,0.34,0.31,EUR
2020-01-22T09:08:12+01:00,GO HYDRO EU 2020,0.28,0.32,0.3,EUR
2020-01-23T08:37:49+01:00,GO HYDRO EU 2020,0.28,0.32,0.3,EUR
2020-01-23T08:37:53+01:00,GO HYDRO EU 2020,0.28,0.32,0.3,EUR
2020-01-24T09:04:20+01:00,GO HYDRO EU 2020,0.25,0.32,0.29,EUR
2020-01-24T09:04:39+01:00,GO HYDRO EU 2020,0.25,0.29,0.27,EUR
2020-01-27T08:06:52+01:00,GO HYDRO EU 2020,0.25,0.29,0.27,EUR
2020-01-27T08:06:56+01:00,GO HYDRO EU 2020,0.25,0.29,0.27,EUR
2020-01-27T10:13:14+01:00,GO HYDRO EU 2020,0.22,0.29,0.26,EUR
2020-01-27T10:13:21+01:00,GO HYDRO EU 2020,0.22,0.28,0.25,EUR
2020-01-28T09:16:28+01:00,GO HYDRO EU 2020,0.22,0.28,0.25,EUR
2020-01-29T09:00:59+01:00,GO HYDRO EU 2020,0.22,0.28,0.25,EUR
2020-01-29T09:00:59+01:00,GO HYDRO EU 2020,0.22,0.28,0.25,EUR
2020-01-30T08:52:02+01:00,GO HYDRO EU 2020,0.22,0.28,0.25,EUR
2020-01-30T08:52:03+01:00,GO HYDRO EU 2020,0.22,0.28,0.25,EUR
2020-01-30T15:15:43+01:00,GO HYDRO EU 2020,0.25,0.28,0.27,EUR
2020-01-30T15:15:45+01:00,GO HYDRO EU 2020,0.25,0.29,0.27,EUR
2020-01-31T08:42:22+01:00,GO HYDRO EU 2020,0.25,0.29,0.27,EUR
2020-01-31T08:42:27+01:00,GO HYDRO EU 2020,0.25,0.3,0.28,EUR
2020-02-03T08:27:00+01:00,GO HYDRO EU 2020,0.25,0.3,0.28,EUR
2020-02-03T08:27:01+01:00,GO HYDRO EU 2020,0.25,0.3,0.28,EUR
2020-02-04T09:22:48+01:00,GO HYDRO EU 2020,0.25,0.3,0.28,EUR
