Country,Region,Year,Week,StoredEnergy
Austria,Alps,2019,1,1412194.0
Austria,Alps,2019,2,1372937.0
Austria,Alps,2019,3,1326312.0
Austria,Alps,2019,4,1176602.0
Austria,Alps,2019,5,1077808.0
Austria,Alps,2019,6,1004592.0
Austria,Alps,2019,7,929553.0
Austria,Alps,2019,8,862072.0
Austria,Alps,2019,9,794181.0
Austria,Alps,2019,10,748352.0
Austria,Alps,2019,11,709164.0
Austria,Alps,2019,12,651259.0
Austria,Alps,2019,13,594518.0
Austria,Alps,2019,14,541928.0
Austria,Alps,2019,15,457413.0
Austria,Alps,2019,16,405422.0
Austria,Alps,2019,17,448854.0
Austria,Alps,2019,18,451052.0
Austria,Alps,2019,19,420343.0
Austria,Alps,2019,20,404278.0
Austria,Alps,2019,21,425504.0
Austria,Alps,2019,22,508035.0
Austria,Alps,2019,23,633327.0
Austria,Alps,2019,24,891204.0
Austria,Alps,2019,25,1151153.0
Austria,Alps,2019,26,1333426.0
Austria,Alps,2019,27,1456081.0
Austria,Alps,2019,28,1516347.0
Austria,Alps,2019,29,1525238.0
Austria,Alps,2019,30,1572891.0
Austria,Alps,2019,31,1695615.0
Austria,Alps,2019,32,1746547.0
Austria,Alps,2019,33,1808417.0
Austria,Alps,2019,34,1853245.0
Austria,Alps,2019,35,1870542.0
Austria,Alps,2019,36,1853674.0
Austria,Alps,2019,37,1869218.0
Austria,Alps,2019,38,1846058.0
Austria,Alps,2019,39,1850987.0
Austria,Alps,2019,40,1851101.0
Austria,Alps,2019,41,1875628.0
Austria,Alps,2019,42,1878607.0
Austria,Alps,2019,43,1870986.0
Austria,Alps,2019,44,1871050.0
Austria,Alps,2019,45,1875843.0
Austria,Alps,2019,46,1814659.0
Austria,Alps,2019,47,1763652.0
Austria,Alps,2019,48,1719248.0
Austria,Alps,2019,49,1650410.0
Austria,Alps,2019,50,1568352.0
Austria,Alps,2019,51,1527181.0
Austria,Alps,2019,52,1564023.0
Austria,Alps,2019,53,
Austria,Alps,2020,1,1570578
Austria,Alps,2020,2,1533996
Austria,Alps,2020,3,1426254
Austria,Alps,2020,4,1273793
Austria,Alps,2020,5,1156977
Austria,Alps,2020,6,1153654
Austria,Alps,2020,7,1137108
Austria,Alps,2020,8,1086259
Austria,Alps,2020,9,1062706
Austria,Alps,2020,10,1015282
Austria,Alps,2020,11,961767
Austria,Alps,2020,12,931444
Austria,Alps,2020,13,862319
Austria,Alps,2020,14,738395
